epoch,train_loss,loss_bce,loss_tv,loss_flow
1,2.3470774555206297,1.1389292395114898,0.6519539797306061,0.7258179265260697
2,1.8834652996063233,1.0362319159507751,0.6155051171779633,0.528798395395279
3,1.786476125717163,0.9797047805786133,0.5851043641567231,0.5020357769727707
4,1.7362250661849976,0.943229923248291,0.5829972624778748,0.486555740237236
5,1.6850672364234924,0.9368171179294587,0.5706145012378693,0.4656757140159607
6,1.68052490234375,0.9347421872615814,0.5599203562736511,0.466596816778183
7,1.6601625728607177,0.918797664642334,0.5535960322618485,0.4619828635454178
8,1.6469253873825074,0.923909660577774,0.5624951505661011,0.4518614935874939
9,1.5879229402542114,0.9088526237010955,0.5496451050043106,0.42933703899383546
10,1.617335615158081,0.9358782088756561,0.549933260679245,0.43721494138240813
11,1.572641053199768,0.8963922274112701,0.5481447452306747,0.4251862758398056
12,1.5458553504943848,0.8710295701026917,0.5439781928062439,0.4191757333278656
13,1.5640182757377625,0.9207953643798829,0.5299049878120422,0.41933405339717866
14,1.5304773926734925,0.8859522831439972,0.5400991010665893,0.4087258529663086
15,1.5330867552757264,0.8678898191452027,0.5362771439552307,0.4155016392469406
16,1.481712086200714,0.8564603066444397,0.5322818160057068,0.39367051601409914
17,1.4835367035865783,0.8543758594989777,0.5210225421190262,0.3979187512397766
18,1.4595937943458557,0.8619163131713867,0.5237456178665161,0.3833814066648483
19,1.4686031532287598,0.8586552691459656,0.5296501499414444,0.38722522377967833
20,1.4514822673797607,0.8592141139507293,0.5270835918188095,0.3791667079925537
21,1.414626314640045,0.8422352921962738,0.5265185225009918,0.3651247125864029
22,1.4424165964126587,0.8446863257884979,0.5248932319879532,0.37881340861320495
23,1.4043436312675477,0.8179884600639343,0.5262510335445404,0.3661119395494461
24,1.3871525454521179,0.8138210463523865,0.5092096161842347,0.36281859904527664
25,1.4035282588005067,0.8609391009807587,0.5076274073123932,0.3596225044131279
26,1.396045014858246,0.8368673074245453,0.5253386265039444,0.35747102707624434
27,1.4013400745391846,0.8509772253036499,0.5058246326446533,0.36146956831216814
28,1.4071267700195313,0.8424408841133117,0.5086532032489777,0.36578986018896104
29,1.3593795228004455,0.8095710742473602,0.5221345913410187,0.34676334530115127
30,1.3675995135307313,0.8323853194713593,0.511646775007248,0.3477917319536209
