epoch,train_loss,loss_bce,loss_tv,loss_flow
1,2.237860674443452,0.9941421928613082,0.47395003878551983,0.7519072786621426
2,1.9144061933393064,0.8937084182449009,0.43559331803218176,0.6248776653538579
3,1.8329650034075198,0.8509773236253987,0.4050240652716678,0.6024821569090304
4,1.7647768025812895,0.8316801553187163,0.41517381629218225,0.5706749085498892
5,1.7631211384483005,0.8374939949616141,0.3941252736941628,0.5736557484968848
6,1.741862030132957,0.8403039004491724,0.3994000392115634,0.5610050299893254
7,1.7263698785201362,0.8287527159504269,0.39256434660890827,0.5578556741061418
8,1.7255582679872927,0.8346496833407361,0.3955548496349998,0.5552280001018358
9,1.69681388658026,0.8276769065338633,0.39043357514816784,0.543879320440085
10,1.685733691505764,0.826805152322935,0.3873727762180826,0.5393223639415659
11,1.687090005563653,0.8295998936114104,0.38545409298461414,0.539781505646913
12,1.6538639431414397,0.8192429361136063,0.38934971133004065,0.5247838127872219
13,1.6273684579393137,0.8134021201859349,0.3902646141207736,0.5127675474985786
14,1.6372417600258538,0.8081665816514388,0.38205228810725006,0.5210661635450695
15,1.6143729738567187,0.8104932528475056,0.38435407695562945,0.5084746596605881
16,1.6004591998846636,0.803652955138165,0.3896956022666848,0.5018924578376438
17,1.5903745552767878,0.8135717420474343,0.37638129941795184,0.49769901711007825
18,1.562492899272753,0.7972345105979753,0.388370613689008,0.4848451705082603
19,1.5574738150057585,0.7921079526776853,0.37598507948543713,0.4867136504339135
20,1.5439345940299656,0.8047581885171973,0.36978544359621796,0.47833138898662897
21,1.5096525212992793,0.7899368690407794,0.37946718542472174,0.4624752434699432
22,1.532079761442931,0.8016644871753195,0.37045257894889166,0.47301061969736347
23,1.5180036581080893,0.8012592688850735,0.36655001990173175,0.4670495066953742
24,1.528431853522425,0.7964429868304211,0.3730312657097112,0.47184736119664233
25,1.4967800171478935,0.7746198890001877,0.3777234897665355,0.4603041604809139
26,1.507550247337507,0.7975001814572708,0.36840087369732233,0.462299856154815
27,1.4807300852692646,0.7834176382292872,0.3719846178656039,0.4515144857375518
28,1.4900073668231135,0.785881897677546,0.3698951744514963,0.4560594150553579
29,1.5303107811057048,0.7942893479181372,0.3745568537193796,0.472943848889807
30,1.5012874603271484,0.8040237880271414,0.36389239197191986,0.45866468160048773
