epoch,train_loss,loss_bce,loss_tv,loss_flow
1,2.1143208586651348,0.8123162570207015,0.7887340486049652,0.6568978493628295
2,1.6768266610477283,0.6429065647332565,0.7345513364543086,0.4940488532833431
3,1.5537884857343591,0.566787465111069,0.6861547516739886,0.46365869433983514
4,1.4988854371983071,0.50698630835699,0.6418195509392283,0.4622412524793459
5,1.4172410913135693,0.48036152189192566,0.6069864138312961,0.43678356059219525
6,1.3905511394790981,0.4499370481656945,0.5924011455929797,0.4346910229195719
7,1.334253578082375,0.4556961441817491,0.5680659361507582,0.41118627268335095
8,1.3152109669602436,0.4402397501727809,0.5338274221057477,0.4140886832838473
9,1.325401837411134,0.44689455498819763,0.5252743765063907,0.419658688099488
10,1.3115079299263332,0.4303073960801829,0.5169453601474348,0.41894077282884845
11,1.2961937500082927,0.4453441973613656,0.5308546909819478,0.40404715486194775
12,1.2811296141665915,0.44098827048488287,0.5060692721087,0.40380041819551715
13,1.262119630108709,0.43292211644027545,0.4962160289287567,0.39877527693043585
14,1.2376458333886189,0.42426596063634625,0.5034601966971937,0.386891378008801
15,1.2642223057539568,0.44006810369698895,0.4852856306926064,0.40077271992745606
16,1.2323771779951842,0.4316907333938972,0.5037260360043981,0.382334405961244
17,1.2051676123038582,0.4245141359127086,0.48231160187202954,0.3758773751880812
18,1.240925721500231,0.4332313129435415,0.4742793395467427,0.39358519859935925
19,1.2017910039943198,0.4216425162942513,0.4849077540895213,0.3742579351300779
20,1.229172812855762,0.42917972867903503,0.4702062146819156,0.3897399196158285
21,1.182542929182882,0.41769168558328046,0.48078399831834046,0.36665254118649854
22,1.1745828467866648,0.4114656590897104,0.49818182315515436,0.3598795526701471
23,1.1718852623649265,0.4203938841819763,0.48697034690691077,0.3591015760017478
24,1.2038891652356023,0.4321999313390773,0.4713174078775489,0.3760652542114258
25,1.1619098847327025,0.40661937030761136,0.47469131454177527,0.3606272760940635
26,1.17446438514668,0.4241796809694041,0.4708430501429931,0.36347650833751843
27,1.1436409224634585,0.39863449399885925,0.4757271804239439,0.3532300468372262
28,1.152293693760167,0.4091241223656613,0.4745305685893349,0.3552331762469333
29,1.1535196174745974,0.4089378636816274,0.45920289016288257,0.3597246168748192
30,1.1578029510767565,0.40840709598168085,0.4545758496160093,0.3631557355756345
